Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.018007,0.00057026,0.03793,0,0,0,2.6721,0.0039943,-5.1308E-09,-1.1694E-07,0.0053978,3.1668E-07,0.0044383,0,0,0,0,0,0,package://dog2/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://dog2/meshes/body_link.STL,,陀螺仪n100-1/陀螺仪外壳1-1;陀螺仪n100-1/n100陀螺仪-1;陀螺仪n100-1/陀螺仪盖子-1;GO-M8010-1;狗身板1-1;GO-M8010-2;GO-M8010-6;GO-M8010-5;狗头^elephant（V2.0）-1/相机安装上-1;狗头^elephant（V2.0）-1/相机侧-1;狗头^elephant（V2.0）-1/相机侧-2;狗头^elephant（V2.0）-1/相机支撑-1;狗头^elephant（V2.0）-1/相机安装-1;狗头^elephant（V2.0）-1/D435.1-1;狗身板2-2;垫块2-4;碳管240-1;狗身上板-1;碳管380-1;碳管380-2;侧面加强打印件-2;碳管125-4;侧面加强打印件-4;尼龙柱-1;尼龙柱-4;尼龙柱-2;尼龙柱-3;上安装板-1;底面整版-1;碳管380-4;碳管380-3;狗头^elephant（V2.0）-1/相机安装上-2;碳管240-5;垫块2-1;狗板子-1;侧面加强打印件-3;格氏ACE5300mah-2;电池急停安装板-1;侧面加强打印件-1;急停开关-1;狗身上板-2;垫块2-3;碳管240-3;狗身板1-2;安装垫块儿-1;狗身板2-1;碳管240-6;垫块2-2;安装垫块儿-2,基坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_link1,0.0084685,-0.00077332,0.043881,0,0,0,0.30939,0.00029802,1.1336E-06,-1.8282E-08,0.00013746,6.2906E-06,0.00019077,0,0,0,0,0,0,package://dog2/meshes/lf_link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://dog2/meshes/lf_link1.STL,,跨-8;GO-M8010-11,左前腿关节1坐标系,左前腿关节1,lf_joint1,revolute,0.1834,0.058474,0.038542,1.5708,0,1.5708,body_link,0,0,1,0,0,0,0,,,,,,,,
lf_link2,0.037519,-0.00053537,0.059874,0,0,0,0.779,0.00046856,3.3247E-05,-2.5891E-08,0.0021194,-3.0127E-08,0.0025412,0,0,0,0,0,0,package://dog2/meshes/lf_link2.STL,1,1,1,1,0,0,0,0,0,0,package://dog2/meshes/lf_link2.STL,,腿安装-4;垫块儿-4;三代目-3/M40铜柱-1;三代目-3/GO-M8010电机-1;三代目-3/大腿1-1;三代目-3/打印件1-1;三代目-3/大腿2-1;三代目-3/胯轴承挡片-1;三代目-3/轴承-1;三代目-3/垫片1-2;三代目-3/同步带-1;三代目-3/小带轮1-1;三代目-3/带轮挡边-1;三代目-3/同步带-2;三代目-3/小带轮2-1;三代目-3/打印件12-1;三代目-3/大腿垫片-1,左前腿关节2坐标系,左前腿关节2,lf_joint2,prismatic,0.031298,0.00022929,0.06,-1.5708,0.60394,-1.5639,lf_link1,0,0,1,0,0,0,0,,,,,,,,
lf_link3,0.062414,-2.4592E-09,0.00080923,0,0,0,0.57476,0.00017559,-3.751E-13,-2.5547E-19,0.0010051,-1.7207E-19,0.001157,0,0,0,0,0,0,package://dog2/meshes/lf_link3.STL,1,1,1,1,0,0,0,0,0,0,package://dog2/meshes/lf_link3.STL,,三代目-3/膝关节轴承档-1;三代目-3/轴承2-2;三代目-3/打印件4-1;三代目-3/狱卒-1/小狗腿-1;三代目-3/大带轮2-1;三代目-3/大带轮挡边-1;三代目-3/大带轮1-1;三代目-3/狱卒-1/小狗腿2-1;三代目-3/打印件4-2;三代目-3/轴承2-1;三代目-3/膝关节轴承档-2;三代目-3/狱卒-1/小狗腿支撑-1,左前腿关节3坐标系,左前腿关节3,lf_joint3,revolute,0.20707,-0.0041231,0.0716,0,0,-1.5104,lf_link2,0,0,1,0,0,0,0,,,,,,,,
lf_link4,-3.6255E-09,0.00037838,1.5548E-10,0,0,0,0.084832,4.1343E-05,3.3881E-21,1.5084E-21,4.1356E-05,1.3986E-18,7.4481E-05,0,0,0,0,0,0,package://dog2/meshes/lf_link4.STL,1,1,1,1,0,0,0,0,0,0,package://dog2/meshes/lf_link4.STL,,三代目-3/足端-1,左前腿关节4坐标系,,lf_joint4,fixed,0.22,0,0.001,0,0,-1.5708,lf_link3,0,0,0,,,,,,,,,,,,
rf_link1,-0.0084692,0.00072401,0.044004,0,0,0,0.30939,0.00029802,9.9741E-07,7.6196E-08,0.00013746,-6.2902E-06,0.00019077,0,0,0,0,0,0,package://dog2/meshes/rf_link1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://dog2/meshes/rf_link1.STL,,跨-7;GO-M8010-12,右前腿关节1坐标系,右前腿关节1,rf_joint1,revolute,0.1834,-0.061526,0.038542,1.5708,0,1.5708,body_link,0,0,1,0,0,0,0,,,,,,,,
rf_link2,0.03986,-0.0050381,0.029099,0,0,0,0.83975,0.00044624,8.6566E-06,-5.6863E-09,0.0021411,-4.4171E-09,0.0025383,0,0,0,0,0,0,package://dog2/meshes/rf_link2.STL,1,1,1,1,0,0,0,0,0,0,package://dog2/meshes/rf_link2.STL,,垫块儿-1;腿安装-1;三代目-1/M40铜柱-1;三代目-1/大腿1-1;三代目-1/GO-M8010电机-1;三代目-1/垫片1-2;三代目-1/同步带-1;三代目-1/带轮挡边-1;三代目-1/小带轮1-1;三代目-1/小带轮2-1;三代目-1/同步带-2;三代目-1/打印件12-1;三代目-1/轴承-1;跨-8;三代目-1/大腿2-1;三代目-1/胯轴承挡片-1;三代目-1/大腿垫片-1,右前腿关节2坐标系,右前腿关节2,rf_joint2,revolute,-0.0313,-0.00018614,0.06,1.5708,0.63691,-1.5644,rf_link1,0,0,1,0,0,0,0,,,,,,,,
rf_link3,0.062414,-4.317E-09,-0.00019076,0,0,0,0.57476,0.00017559,-3.7503E-13,-1.0009E-16,0.0010051,1.3535E-17,0.001157,0,0,0,0,0,0,package://dog2/meshes/rf_link3.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://dog2/meshes/rf_link3.STL,,三代目-1/狱卒-1/小狗腿支撑-1;三代目-1/狱卒-1/小狗腿-1;三代目-1/狱卒-1/小狗腿2-1;三代目-1/膝关节轴承档-2;三代目-1/轴承2-1;三代目-1/大带轮1-1;三代目-1/大带轮挡边-1;三代目-1/大带轮2-1;三代目-1/打印件4-1;三代目-1/轴承2-2;三代目-1/膝关节轴承档-1;三代目-1/打印件4-2,右前腿关节3坐标系,右前腿关节3,rf_joint3,revolute,0.20707,-0.0041231,0.0726,0,0,1.5658,rf_link2,0,0,1,0,0,0,0,,,,,,,,
rf_link4,-5.0676E-11,-0.00037838,-5.7982E-11,0,0,0,0.084832,4.1343E-05,-1.6941E-21,-2.9145E-19,4.1356E-05,-1.2248E-18,7.4481E-05,0,0,0,0,0,0,package://dog2/meshes/rf_link4.STL,1,1,1,1,0,0,0,0,0,0,package://dog2/meshes/rf_link4.STL,,三代目-1/足端-1,右前腿关节4坐标系,,rf_joint4,fixed,0.22,0,0,-3.1416,0,-1.5708,rf_link3,0,0,0,,,,,,,,,,,,
lb_link1,0.0084645,-0.00077794,0.044004,0,0,0,0.30939,0.00029803,-2.538E-08,-3.6129E-08,0.00013745,6.2906E-06,0.00019077,0,0,0,0,0,0,package://dog2/meshes/lb_link1.STL,1,1,1,1,0,0,0,0,0,0,package://dog2/meshes/lb_link1.STL,,GO-M8010-14;跨-9,左后腿关节1坐标系,左后腿关节1,lb_joint1,revolute,-0.2098,0.058472,0.038542,-1.5708,0,1.5708,body_link,0,0,1,0,0,0,0,,,,,,,,
